5, 1100600, 8900, 5100
54, 185600, 65500, 319900
471, 1907000, 504700, 1339600
3799, 5779600, 3390800, 2849400
3, 1169800, 6500, 4300
58, 161800, 93200, 66600
379, 2277800, 422800, 403400
3019, 2032200, 1247300, 1262700
1, 62100, 3600, 1000
14, 50400, 6400, 12900
184, 164100, 45100, 44300
1640, 965400, 351500, 377300
1, 6200, 1200, 400
2, 13400, 1700, 800
26, 54300, 11900, 8500
240, 188900, 41200, 44200
1, 16300, 1700, 400
22, 32600, 7800, 5700
232, 143300, 42400, 41500
2438, 1270800, 519800, 557300
1, 4300, 1200, 1900
13, 26300, 4400, 4100
116, 101000, 21600, 21300
1073, 737000, 201000, 214500
1, 11900, 2400, 700
1, 5400, 1200, 400
7, 9600, 3000, 2000
31, 39000, 8200, 7800
10, 19400, 5100, 3600
47, 51500, 11200, 10000
382, 368300, 85700, 126800
2385, 1316700, 584900, 1083800
1, 20700, 2000, 500
19, 41700, 15100, 10900
205, 116300, 45400, 58700
1751, 772800, 318300, 343800
1, 10200, 2100, 600
14, 32100, 9200, 4500
184, 195300, 36700, 65700
1640, 1384800, 344600, 382500
1, 1064600, 3400, 1500
2, 15400, 4400, 3300
10, 43400, 62100, 7100
42, 475900, 68000, 49000
8, 29500, 6500, 5800
67, 141700, 51900, 56300
522, 929400, 581600, 698400
3825, 3208200, 2243400, 1805900
1, 13500, 1300, 500
10, 18900, 4300, 2100
44, 52700, 14600, 12300
258, 198600, 49100, 54000
1, 6100, 1700, 500
4, 4800, 2000, 1900
61, 26900, 11000, 11500
417, 286600, 71100, 88800
10, 23600, 4700, 3800
47, 43900, 10300, 10500
382, 239400, 67600, 83000
2385, 1906400, 1005500, 889600
3, 19200, 2300, 1200
58, 57900, 11400, 11400
379, 301600, 63300, 73600
3019, 1478600, 664300, 684500
12, 15200, 3900, 3400
135, 124100, 25800, 25800
1246, 831100, 260000, 313400
10045, 6981300, 9699600, 4800700
1, 32500, 2600, 1000
2, 5900, 1600, 700
35, 56700, 10600, 10500
204, 187000, 41000, 36400
7, 26800, 3900, 3600
82, 95800, 18200, 18700
807, 492100, 173200, 201100
6766, 4154400, 3643200, 2961300
4, 144000, 5000, 3000
39, 42000, 9500, 9100
485, 516700, 111300, 152300
4924, 2136700, 2464600, 2526800
1, 1127300, 4700, 1400
16, 95800, 30800, 28500
169, 597200, 243900, 209200
1764, 1761600, 197793600, 858900
9, 59900, 6300, 3100
95, 152900, 25900, 33400
1022, 1169500, 785300, 662700
8254, 4772000, 3711200, 3723400
9, 27900, 4600, 2400
58, 50200, 13900, 11800
460, 260200, 81300, 92200
3500, 1718200, 840200, 862300
1, 6300, 1400, 400
1, 4800, 1000, 400
10, 10600, 4400, 2800
37, 40900, 15600, 11200
1, 4300, 1200, 500
5, 8300, 2100, 1700
27, 25100, 7500, 6000
200, 114000, 36000, 36100
12, 27800, 5700, 4400
119, 114600, 23900, 23900
994, 747200, 206800, 403900
7498, 3757300, 5574400, 3662600
11, 19700, 6000, 3900
76, 94200, 23700, 167800
809, 416500, 174900, 4126400
6164, 3051200, 2753500, 2274400
8, 23800, 4000, 2600
67, 83300, 16800, 14600
522, 353500, 118800, 136800
3825, 1331500, 1047600, 1498500
1, 20000, 900, 500
2, 4400, 433800, 1400
9, 72900, 6900, 7400
77, 402000, 24600, 24600
6, 5200, 2700, 1400
40, 18100, 21300, 17300
307, 111300, 58300, 2720500
1795, 1001400, 3632600, 3664000
1, 4400, 1700, 700
11, 32700, 9500, 5300
173, 110300, 31100, 29500
1891, 613800, 323900, 327700
1, 3600, 1600, 400
12, 14500, 6600, 4000
47, 32100, 13600, 8900
554, 246300, 81800, 92000
2, 4600, 2100, 800
4, 16600, 6000, 2800
41, 29900, 11600, 7700
215, 84000, 32700, 31100
4, 14300, 5900, 2000
59, 29400, 20000, 13400
556, 218600, 84700, 90200
4632, 1538400, 1536000, 1732500
1, 5900, 1600, 500
3, 19000, 5200, 1600
15, 5700, 3700, 2600
92, 47300, 22800, 20300
2, 11700, 4100, 1500
32, 23400, 10300, 6800
304, 99800, 46600, 47400
2881, 1271600, 805300, 953300
1, 6000, 2800, 600
47, 197500, 13600, 9500
504, 238300, 195200, 192400
4885, 2042300, 1852900, 1669000
2, 4900, 1900, 700
40, 13100, 7100, 5800
312, 137500, 48600, 50900
2461, 1109900, 641800, 500600
3, 5100, 2100, 1100
31, 19400, 9100, 6300
380, 147400, 77000, 85100
3084, 1362300, 850100, 700400
1, 3200, 800, 300
6, 5100, 2700, 1500
68, 44300, 15800, 11600
563, 131100, 1010500, 182800
